alimento,categoria,calorias,proteinas,carbohidratos,grasas,fibra,region,preparacion
Sopa de Verduras,Primero,80,3,12,2,3
Ensalada César,Primero,140,8,10,8,2
Arroz con Pollo,Segundo,360,26,40,12,2
Filete de Ternera,Segundo,380,36,0,20,0
Flan de Vainilla,Postre,190,4,28,6,0
Helado de Chocolate,Postre,240,4,30,12,1
Paella,Segundo,390,22,48,14,3
Gazpacho,Primero,75,2,12,3,2
Pollo al Ajillo,Segundo,300,28,6,18,1
Tarta de Queso,Postre,290,7,32,14,1
Croquetas,Primero,140,6,18,6,2
Chuleta de Cerdo,Segundo,410,32,0,32,0
Natillas,Postre,170,4,24,6,0
Lentejas,Primero,115,10,18,1,7
Merluza a la Plancha,Segundo,190,24,0,8,0
Tiramisú,Postre,340,5,42,14,1
Salmorejo,Primero,145,3,13,9,2
Cordero Asado,Segundo,440,38,0,28,0
Arroz con Leche,Postre,215,5,38,4,1
Pizza Margarita,Primero,240,11,28,9,2
Bacalao,Segundo,175,26,0,7,0
Brownie,Postre,310,4,38,14,2
Ensalada Mixta,Primero,85,3,9,4,2
Albóndigas,Segundo,340,28,18,14,3
Crema Catalana,Postre,200,4,32,6,0
Tortilla de Patatas,Primero,190,6,18,8,2
Salmón,Segundo,270,24,0,16,0
Coulant de Chocolate,Postre,390,5,42,18,2
Quinoa con Verduras,Primero,175,6,28,4,3
Pollo Asado,Segundo,300,26,0,18,0
Mousse de Limón,Postre,140,3,18,5,0
Potaje de Garbanzos,Primero,230,13,33,5,7
Solomillo de Cerdo,Segundo,370,31,0,25,0
Tarta de Manzana,Postre,280,4,42,11,2
Calamares a la Romana,Primero,180,9,8,9,0
Costillas de Cerdo,Segundo,440,34,0,33,0
Macedonia de Frutas,Postre,95,1,22,0,3
Vichyssoise,Primero,105,2,14,4,2
Hamburguesa,Segundo,490,27,36,24,2
Panna Cotta,Postre,310,6,38,14,0
Couscous,Primero,145,5,28,2,3
Rabo de Toro,Segundo,420,36,0,28,0
Bizcocho,Postre,275,6,42,9,1
Alubias con Chorizo,Primero,250,16,32,9,7
Pechuga de Pavo,Segundo,195,31,0,6,0
Profiteroles,Postre,340,5,38,16,1
Sopa de Verduras,Primero,80,3,12,2,3
Ensalada César,Primero,140,8,10,8,2
Arroz con Pollo,Segundo,360,26,40,12,2
Filete de Ternera,Segundo,380,36,0,20,0
alimento,categoria,calorias,proteinas,carbohidratos,grasas,fibra
Flan de Vainilla,Postre,190,5,28,6,0
Helado de Chocolate,Postre,240,4,30,12,1
Paella,Segundo,390,22,48,14,3
Gazpacho,Primero,75,2,12,3,2
Pollo al Ajillo,Segundo,310,28,6,18,1
Tarta de Queso,Postre,290,7,32,14,1
Croquetas,Primero,140,6,18,6,2
Chuleta de Cerdo,Segundo,410,32,0,32,0
Natillas,Postre,170,4,24,6,0
Lentejas,Primero,115,10,18,1,7
Merluza a la Plancha,Segundo,190,24,0,8,0
Tiramisú,Postre,340,5,42,14,1
Salmorejo,Primero,145,3,13,9,2
Cordero Asado,Segundo,440,38,0,28,0
Arroz con Leche,Postre,215,5,38,4,1
Pizza Margarita,Primero,240,11,28,9,2
Bacalao,Segundo,175,26,0,7,0
Brownie,Postre,310,4,38,14,2
Ensalada Mixta,Primero,85,3,9,4,2
Albóndigas,Segundo,340,28,18,14,3
Crema Catalana,Postre,200,4,32,6,0
Tortilla de Patatas,Primero,190,6,18,8,2
Salmón,Segundo,270,24,0,16,0
Coulant de Chocolate,Postre,390,5,42,18,2
Quinoa con Verduras,Primero,175,6,28,4,3
Pollo Asado,Segundo,300,26,0,18,0
Mousse de Limón,Postre,140,3,18,5,0
Potaje de Garbanzos,Primero,230,13,33,5,7
Solomillo de Cerdo,Segundo,370,31,0,25,0
Tarta de Manzana,Postre,280,4,42,11,2
Calamares a la Romana,Primero,180,9,8,9,0
Costillas de Cerdo,Segundo,440,34,0,33,0
Macedonia de Frutas,Postre,95,1,22,0,3
Vichyssoise,Primero,105,2,14,4,2
Hamburguesa,Segundo,490,27,36,24,2
Panna Cotta,Postre,310,6,38,14,0
Couscous,Primero,145,5,28,2,3
Rabo de Toro,Segundo,420,36,0,28,0
Bizcocho,Postre,275,6,42,9,1
Alubias con Chorizo,Primero,250,16,32,9,7
Pechuga de Pavo,Segundo,195,31,0,6,0
Profiteroles,Postre,340,5,38,16,1
Crema de Calabaza,Primero,85,2,14,2,3
Pollo con Almendras,Segundo,330,27,6,18,2
Tarta de Santiago,Postre,300,6,38,13,1
Huevos Rellenos,Primero,115,8,2,8,0
Entrecot de Ternera,Segundo,490,39,0,33,0
Pudín de Pan,Postre,225,6,38,6,2
Crema de Espárragos,Primero,65,3,9,2,2
Dorada al Horno,Segundo,240,27,0,13,0
Helado de Vainilla,Postre,200,4,22,9,1
Pisto Manchego,Primero,130,3,18,6,4
Cerdo agridulce,Segundo,360,25,30,15,1
Crema de Avellanas,Postre,290,4,28,16,2
Empanada Gallega,Primero,220,7,28,10,2
Salmón a la Naranja,Segundo,300,26,12,17,0
Berenjenas Rellenas,Primero,160,6,22,8,4
Estofado de Ternera,Segundo,380,32,18,22,3
Tiramisú,Postre,360,6,42,14,1
Crema de Calabacín,Primero,80,2,12,3,2
Costillas Barbacoa,Segundo,460,28,12,32,0
Pastel de Zanahoria,Postre,310,5,42,11,2
Sopa de Cebolla,Primero,90,2,14,4,1
Rollo de Carne,Segundo,420,34,8,27,1
Tarta de Frutas,Postre,260,4,42,11,3
Ensalada de Pollo,Primero,190,14,10,10,3
Pechuga de Pollo,Segundo,230,32,0,11,0
Brownie de Nueces,Postre,340,6,38,18,3
Minestrone,Primero,120,3,16,6,3
Cerdo al Curry,Segundo,380,30,12,26,1
Pavlova,Postre,230,3,43,9,1
Gazpachuelo,Primero,100,4,12,5,2
Conejo al Ajillo,Segundo,310,29,0,16,1
Leche Frita,Postre,290,5,43,12,1
Ensalada de Garbanzos,Primero,150,7,22,6,6
Filete de Cerdo,Segundo,360,31,0,21,0
Cordero al Horno,Segundo,470,34,0,31,0
Pastel de Chocolate,Postre,390,6,47,21,2
Sopa de Marisco,Primero,120,8,14,4,2
Estofado de Pollo,Segundo,350,27,10,21,1
Tarta de Limón,Postre,310,5,44,14,1
Ensalada Rusa,Primero,150,4,17,9,2
Costillas a la Miel,Segundo,490,34,12,36,0
Helado de Fresa,Postre,220,4,26,10,1
Sopa de Guisantes,Primero,110,5,16,3,4
Filete de Pescado,Segundo,230,27,0,12,0
Pastel de Coco,Postre,310,5,46,16,2
Caldo Gallego,Primero,100,3,12,5,2
Solomillo de Res,Segundo,410,36,0,28,0
Tarta de Almendra,Postre,340,6,44,18,2
Sopa de Tomate,Primero,90,2,14,3,3
Cerdo al Horno,Segundo,430,36,0,31,0
Tarta de Peras,Postre,290,4,43,13,2
Sopa de Pollo,Primero,120,9,11,6,2
Pavo Relleno,Segundo,390,29,10,26,1
Pudin de Chocolate,Postre,310,5,44,14,2
Ensalada de Tomate,Primero,80,2,12,3,2
Chuleta de Cordero,Segundo,430,34,0,29,0
Flan de Coco,Postre,310,5,44,14,2
Sopa de Puerro,Primero,100,3,12,4,2
Pechuga de Pollo Asada,Segundo,230,32,0,11,0
Tarta de Melocotón,Postre,290,4,44,13,2
Caldo de Pollo,Primero,80,5,11,3,1
Cerdo Guisado,Segundo,370,29,10,19,2
Helado de Yogur,Postre,210,5,24,9,1
Sopa de Almejas,Primero,110,7,11,3,2
Solomillo de Ternera,Segundo,410,36,0,27,0
Tarta de Castañas,Postre,310,5,43,16,1
Crema de Espinacas,Primero,85,3,11,4,3
Lomo de Cerdo,Segundo,360,31,0,21,0
Helado de Vainilla con Nueces,Postre,230,4,24,11,2
Sopa de Pescado,Primero,95,8,10,3,1
Pierna de Cordero,Segundo,460,36,0,31,0
Tarta de Frutas del Bosque,Postre,270,4,44,11,3
Sopa de Verduras,Primero,75,2,11,3,2
Pollo al Horno,Segundo,310,29,0,19,1
Sopa de Lentejas,Primero,160,10,21,5,8
Pato a la Naranja,Segundo,390,26,14,24,2
Tarta de Nata,Postre,310,5,43,16,1
Sopa de Patata,Primero,105,3,14,4,3
Bistec de Res,Segundo,410,36,0,27,0
Mousse de Fresa,Postre,230,5,31,10,1
Caldo de Verduras,Primero,75,2,9,2,2
Cerdo a la Brasa,Segundo,360,31,0,21,0
Tarta de Naranja,Postre,290,4,44,13,2
Sopa de Champiñones,Primero,95,3,11,4,2
Filete de Trucha,Segundo,210,26,0,10,0
Helado de Mango,Postre,220,4,24,8,1
