alimento,categoria,calorias,proteinas,carbohidratos,grasas,fibra,region,preparacion
Pastel de chocolate chocolate sin azucar,Postre,450,7.6,61.2,7.9,4.8,Asia,Horno
Helado de vainilla mango bajo en grasas,Postre,498,7.1,59.5,27.3,3.4,Oceania,Cocido
Tarta de manzana naranja vegetariano,Postre,202,7.7,54.0,10.3,4.4,Africa,Cocido
Flan vainilla alto en fibra,Postre,582,5.1,47.3,9.6,4.5,Europa,Horno
Brownie limon bajo en grasas,Postre,475,5.6,53.9,15.7,4.0,Asia,Asado
Mousse de limon limon integral,Postre,618,6.3,32.5,16.3,4.3,Asia,Asado
Galletas de avena vainilla integral,Postre,249,5.8,39.4,12.2,3.0,Asia,Frito
Pan dulce mango sin gluten,Postre,617,2.5,70.0,16.2,2.9,Africa,Frito
Churros manzana sin gluten,Postre,694,2.6,32.4,16.3,4.8,Europa,Horno
Arroz con leche vainilla sin gluten,Postre,278,7.8,31.5,12.1,1.4,America,Frito
Pastel de zanahoria mango integral,Postre,630,3.3,30.0,25.0,3.4,Africa,Horno
Helado de fresa manzana vegetariano,Postre,313,4.7,62.9,9.5,1.1,Africa,Frito
Tarta de queso vainilla alto en fibra,Postre,655,4.4,61.1,11.9,2.1,Oceania,Cocido
Panna cotta vainilla vegetariano,Postre,509,7.0,79.5,17.6,3.5,America,Horno
Crema catalana limon vegetariano,Postre,500,6.3,48.9,22.6,1.5,Asia,Frito
Galletas de chocolate manzana bajo en grasas,Postre,485,6.1,42.1,19.2,1.2,Oceania,Asado
Pastel selva negra manzana vegetariano,Postre,343,2.3,58.4,9.8,2.4,Europa,Frito
Cheesecake de limon manzana vegetariano,Postre,589,3.9,77.5,17.6,4.9,Africa,Crudo
Yogur natural manzana alto en fibra,Postre,221,3.2,55.8,18.7,2.8,Europa,Cocido
Yogur de frutas fresa integral,Postre,663,2.7,42.4,8.3,1.8,America,Asado
Sopa de verduras fresa alto en fibra,Primero,474,5.7,26.3,7.3,5.5,America,Frito
Ensalada Cesar naranja alto en fibra,Primero,526,8.5,39.6,11.0,7.8,Oceania,Horno
Crema de calabaza chocolate sin azucar,Primero,202,10.1,36.8,5.5,9.1,Africa,Crudo
Minestrone fresa sin azucar,Primero,327,12.9,39.1,5.8,3.2,Europa,Horno
Gazpacho mango vegetariano,Primero,591,11.0,23.7,9.9,4.2,America,Frito
Sopa de pollo naranja integral,Primero,644,6.9,30.7,9.6,4.4,Oceania,Cocido
Caldo gallego naranja sin azucar,Primero,595,6.1,20.8,5.5,8.0,Europa,Cocido
Salmorejo mango vegetariano,Primero,592,6.7,28.3,11.3,8.0,Oceania,Asado
Crema de esparragos naranja sin azucar,Primero,201,14.4,15.4,8.1,4.7,Oceania,Horno
Consome fresa sin gluten,Primero,521,5.8,21.9,12.6,4.5,America,Horno
Ensalada griega fresa sin gluten,Primero,324,14.1,26.7,8.3,7.2,Europa,Cocido
Ensalada caprese naranja bajo en grasas,Primero,276,14.3,32.3,13.3,8.4,Europa,Cocido
